run_id,bloque,condicion,repeticion,scene,waypoints,checkpoint,mobility_mode,percepcion_online,adjustments_file,spawn_profile,reutilizacion,status,valid,termination,last_wp,results_dir,notes
ZIGZAG_03,mapa_riesgo,zigzag,3,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_zigzag.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,uninformed,si,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/mapa_riesgo/zigzag/ZIGZAG_03,
SEMI_01,movilidad,semi_informed,1,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,semi_informed,si,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/movilidad/semi_informed/ajustes_semi.csv,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/movilidad/semi_informed/SEMI_01,
SEMI_02,movilidad,semi_informed,2,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,semi_informed,si,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/movilidad/semi_informed/ajustes_semi.csv,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/movilidad/semi_informed/SEMI_02,
SEMI_03,movilidad,semi_informed,3,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,semi_informed,si,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/movilidad/semi_informed/ajustes_semi.csv,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/movilidad/semi_informed/SEMI_03,
SEMI_04,movilidad,semi_informed,4,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,semi_informed,si,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/movilidad/semi_informed/ajustes_semi.csv,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/movilidad/semi_informed/SEMI_04,
SEMI_05,movilidad,semi_informed,5,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,semi_informed,si,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/movilidad/semi_informed/ajustes_semi.csv,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/movilidad/semi_informed/SEMI_05,
INFORMED_01,movilidad,informed,1,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,informed,si,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/movilidad/informed/INFORMED_01,
INFORMED_02,movilidad,informed,2,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,informed,si,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/movilidad/informed/INFORMED_02,
INFORMED_03,movilidad,informed,3,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_normal.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/giro_terrenoirregular/model_49700.pt,informed,si,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/movilidad/informed/INFORMED_03,
RL_9400_01,evolucion_rl,checkpoint_9400,1,/home/robcib/Desktop/MARIAM/scenarios/nave_densidad_alta_risk.usd,/home/robcib/Desktop/MARIAM/resultados_tfg/00_configuracion/waypoints/waypoints_densidad_risk.csv,/home/robcib/g1_labcompatible/unitree_rl_lab/logs/rsl_rl/unitree_g1_29dof_velocity/2026-04-28_18-56-13/model_9400.pt,uninformed,no,,general,,PENDIENTE,,,,/home/robcib/Desktop/MARIAM/resultados_tfg/01_pruebas_oficiales/evolucion_rl/ckpt_9400/RL_9400_01,
